date,tweet
2021-07-25 02:27:32,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:27:26,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:25:38,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:11:04,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:10:18,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:10:12,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:09:47,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:08:09,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 02:06:58,"b'@jorgeberry @bernardodlgarza Todo eso muy bien, pero es una l\xc3\xa1stima tantas interrupciones en la transmisi\xc3\xb3n de\xe2\x80\xa6 https://t.co/zXLW4QoQSl'"
2021-07-25 01:58:59,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:58:18,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:53:49,b'P\xc3\xa1sate a #Claro y obtene 80% de descuento real en tu abono durante 12 meses.!! https://t.co/3Ikn8Ae03T'
2021-07-25 01:52:01,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:51:14,b'RT @FiscalizacionAN: \xf0\x9f\x94\xb4CRONOGRAMA DE COMPARECENCIAS\xf0\x9f\x94\xb4\nEsta es la agenda del s\xc3\xa9ptimo d\xc3\xada de comparecencias por el #juiciopol\xc3\xadtico a #PabloCeli\xe2\x80\xa6'
2021-07-25 01:49:50,b'\xf0\x9f\x94\xb4CRONOGRAMA DE COMPARECENCIAS\xf0\x9f\x94\xb4\nEsta es la agenda del s\xc3\xa9ptimo d\xc3\xada de comparecencias por el #juiciopol\xc3\xadtico a\xe2\x80\xa6 https://t.co/IRO7NiS0xL'
2021-07-25 01:48:30,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:48:21,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:48:06,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:47:46,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:37:12,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:35:25,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:31:31,b'RT @JoseAgu16772436: @CarolineSandini @ellamararodrig @AshlyRRivero19 @superfrog89 @TatianaCaribe @AgatonAnonimo @BrownSugarNic @CamilaPlom\xe2\x80\xa6'
2021-07-25 01:24:31,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:22:18,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:22:06,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:19:24,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:19:01,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:15:50,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:13:46,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:12:31,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:09:25,b'RT @JoseAgu16772436: @CarolineSandini @ellamararodrig @AshlyRRivero19 @superfrog89 @TatianaCaribe @AgatonAnonimo @BrownSugarNic @CamilaPlom\xe2\x80\xa6'
2021-07-25 01:08:12,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:08:08,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
