aburrido
pesimo
horripilante
horroroso
feo
falso
insoportable
egoísta
asqueroso
negativo
adulador
engreído
orgulloso
agrandado
envidioso
pedante
agresivo
farsante
pendenciero
horrible
antipático
feo
provocador
aprovechador
hipócrita
repetitivo
desagradable
sucio
caido
caida
malo
mala


maloliente
fatal
arrogante
horrible
terrible
resentido
caprichoso
ignorante
tacaño
corrupto
impaciente
terco
dañino
impostor
testarudo
desatento
indiscreto
tirano
desconsiderado
insoportable
vago
desmedido
insostenible
vanidoso
desordenado
intolerante
vengativo
despiadado
maleducado
vil
despreciable
malo
malisimo
violento
egocéntrico
mentiroso
virulento
enfermo
irresponsable
desleal
cobarde
perezoso
deshonesto
debil
indiferente
incompetente
ira
perjudicial
imprudente
avaricioso
traidor
rencoroso
egoista
pereza
temor
torpe
torpeza
incompetencia
desorganizado
desorganizacion
caro
aburrimiento
negatividad
deshonestidad
corrupcion
mentira
mentirosa
hipocresia
hipocrita
irracional
descontrolado
descontrol
deslealtad
cruel
crueldad
avaricia
pesimismo
resentimiento
intolerancia
impuntual
impuntualidad
imprudencia
soberbia
rudo
ruda
rudeza
irresponsabilidad
cobardia
arrogancia
indiscrecion
egoismo
desorden
descuido
egocentrismo
impaciencia
autoritario
autoritaria
autoritarismo
codicia
codicioso
codiciosa
envidia
agresividad
agresiva
venganza
rencor
irritable
irritabilidad
insuficiente
insuficiencia
racista
racismo
sexista
sexismo
superficialidad
superficial
critico
critica
homofobia
homofobico
homofobica
manipulador
manipuladora
manipulacion
descarado
descarada
desgraciado
desgraciada
celos
celoso
celosa
indiscreta
dañina
desprecio
desprecia
odio
odioso
odia
detesto
detestable
detesta
imperfecto
imperfeccion
perverso
perversidad
