date,tweet
2021-07-24 15:23:00,b'RT @Comfanorte: #Vacunaci\xc3\xb3n \xf0\x9f\x98\xb7 |\xf0\x9f\x92\x89 \xc2\xa1Empleados de @MovistarCo vacunados contra el COVID!\n\nCon el compromiso de seguir apoyando las jornadas de\xe2\x80\xa6'

2021-07-24 15:16:59,"b'\xc2\xa1Bien @RichardCarapazM! el triunfo es suyo, al final en el #Ecuador siempre ha prevalecido el padrinazgo, el apoyo\xe2\x80\xa6 https://t.co/YGf6E1zPcO'"

2021-07-24 15:11:35,"b'Resentiditos, la trayectoria y \xc3\xa9xitos que consiguieron y conseguir\xc3\xa1 el @Movistar_Team es mayor al \xc3\xa9xito individual.\xe2\x80\xa6 https://t.co/poOaCz4Z56'"

2021-07-24 15:07:43,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 14:57:45,b'Sin luz en #doshermanas y tambi\xc3\xa9n va fatal las redes de #Vodafone y #Movistar Vamos bien...'

2021-07-24 14:57:05,"b'@MoniVelasquezV Esa es  la  #\xc3\xbanica #VERDAD , #toda la #VERDAD  y #nada #m\xc3\xa1s que la #VERDAD, viendo en directo la ca\xe2\x80\xa6 https://t.co/Wb4mJKOEfe'"

2021-07-24 14:52:05,b'@macias_oswaldo @socialholico @Caro_Urq Igual #Movistar le pagaba miserias y terminaron en malos t\xc3\xa9rminos los contr\xe2\x80\xa6 https://t.co/TbF9mKQMAc'

2021-07-24 14:50:26,b'#movistar Actualmente puede haber interrupciones! #movistardown M\xc3\xa1s informaci\xc3\xb3n en: https://t.co/3Xmpx5NrvP'

2021-07-24 14:15:46,b'@MovistarPlus acabo de descubrir en @rtve el maravilloso Magazine \xe2\x80\x9cEuropa\xe2\x80\x9d#rtve\xe2\x9d\xa4\xef\xb8\x8feu. Contenido e informaci\xc3\xb3n riguro\xe2\x80\xa6 https://t.co/8otNLMsnag'

2021-07-24 13:52:17,"b'RT @oriolobos: #movistar 60 minutos para un traslado de l\xc3\xadnea, pasando d un agente a otro, encima ten\xc3\xa9is que dar de baja y alta x cambiar d\xe2\x80\xa6'"

2021-07-24 13:16:45,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 13:02:00,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

